,timestamp,programme,ML,IR,stat,DB,gender,chocolate,neighbours,stand,money,random,good(1),good(2),y_birth,m_birth,d_birth,h_bed,m_bed
195,4/5/2018 11:28:15,CS,1,1,1,1,male,fat,5,0,0,-1,Morning sex,Going to the gym,-1,1,12,2,30
196,4/5/2018 11:28:18,BA,1,0,1,1,female,neither,4,0,-1,9,Good sleep,Free time ,1993,3,19,0,0
197,4/5/2018 11:28:19,CS,1,0,0,0,female,neither,-1,0,5,8,good weather,Achievement,-1,-1,-1,22,0
198,4/5/2018 11:28:20,CS,0,0,1,0,female,ignorant,7,0,5,7,A good sleep,Be around nice people,1996,9,24,23,0
199,4/5/2018 11:28:18,CS,0,0,1,1,male,ignorant,7,0,3,3,Good night rest,No compile errors on first try,1996,5,2,0,0
200,4/5/2018 11:28:21,EOR,0,0,1,0,male,neither,3,0,10,-1,Sports,Chocolate,1995,4,12,0,0
201,4/5/2018 11:28:23,CLS,1,-1,1,1,male,neither,1,0,80,4,productivity,no pain,1990,4,12,3,0
202,4/5/2018 11:28:25,CS,0,0,1,0,male,fat,1,0,5,-1,Good sleep,Cheese,1993,11,26,0,0
203,4/5/2018 11:28:26,AI,1,0,1,1,male,fat,1,0,20,7,Coffee,Music,1994,8,18,23,0
204,4/5/2018 11:28:29,AI,0,0,1,0,male,fat,5,0,50,6,Good sleep,Sports,1990,12,30,3,0
205,4/5/2018 11:28:30,CLS,1,0,0,0,male,neither,2,0,0,4,1,2,-1,8,7,4,30
206,4/5/2018 11:28:32,BA,1,1,0,1,male,unknown,-1,-1,999999999999999983222784,7,Guest lecture by Tupac,0 heart attacks,2000,5,4,4,0
207,4/5/2018 11:28:42,CLS,0,0,0,0,male,slim,7,0,0,7,Temptation Island,Sun,1991,12,25,2,0
208,4/5/2018 11:28:56,QRM,0,0,1,1,male,ignorant,1,0,5,3,"Sunshine, structure ","Following 4 courses at the same time, rain",-1,3,18,0,0
209,4/5/2018 11:29:04,CS,1,0,1,0,female,neither,1,0,0,5,A good book,Nice people,1993,10,24,1,5
210,4/5/2018 11:29:27,AI,1,1,1,1,male,ignorant,6,0,50,9,Hanging out,Sex,1993,9,2,0,0
211,4/5/2018 11:30:36,AI,0,0,1,0,male,slim,2,-1,0,-1,food,friends,-1,9,11,0,0
212,4/5/2018 11:38:01,CS,0,0,1,0,male,fat,3,0,2,2,Freedom,Money,1991,11,22,2,0
213,4/5/2018 12:10:39,AI,0,0,-1,-1,female,neither,7,-1,0,-1,Sun,Activities,1993,5,20,0,0
214,4/5/2018 13:15:17,AI,1,1,1,0,male,fat,8,0,11,2,The foresight of a night out with friends,The taste of that first sip of cold beer on a hot summer day,1992,7,30,4,0
215,4/5/2018 15:09:53,CS,0,1,1,0,male,neither,5,0,-1,10,Good company,Well rested and structured,1991,4,12,1,30
216,4/5/2018 18:04:54,BA,1,1,1,1,male,fat,3,0,80,6,Sleep,Relax,1994,7,10,1,0
